corresponding_id,alias,real_name,alias_type,start,end,extra
,Earl of Shaftesbury,Anthony Ashley-Cooper,title,1771/05/28,1811/05/14,Does not have an entry in mps.csv
,Baron Ashley,Anthony Ashley-Cooper,title,1771/05/28,1811/05/14,Does not have an entry in mps.csv
,Baron Cooper,Anthony Ashley-Cooper,title,1771/05/28,1811/05/14,Does not have an entry in mps.csv
751,Earl of Shaftesbury,Cropley Ashley Cooper,title,1811/05/15,1851/06/02,
751,Baron Ashley,Cropley Ashley Cooper,title,1811/05/15,1851/06/02,
751,Baron Cooper,Cropley Ashley Cooper,title,1811/05/15,1851/06/02,
2518,Earl of Shaftesbury,Anthony Ashley-Cooper,title,1851/06/03,1885/10/01,
2518,Baron Ashley,Anthony Ashley-Cooper,title,1851/06/03,1885/10/01,
2518,Baron Cooper,Anthony Ashley-Cooper,title,1851/06/03,1885/10/01,
4494,Earl of Shaftesbury,Anthony Ashley-Cooper,title,1885/10/02,1886/04/13,
4494,Baron Ashley,Anthony Ashley-Cooper,title,1885/10/02,1886/04/13,
4494,Baron Cooper,Anthony Ashley-Cooper,title,1885/10/02,1886/04/13,
,Earl of Shaftesbury,Anthony Ashley-Cooper,title,1886/04/14,1961/03/25,Does not have an entry in mps.csv
,Baron Ashley,Anthony Ashley-Cooper,title,1886/04/14,1961/03/25,Does not have an entry in mps.csv
,Baron Cooper,Anthony Ashley-Cooper,title,1886/04/14,1961/03/25,Does not have an entry in mps.csv
